sample,individual,condition,bam_file,haplotype
Sample7H1,Patient4,noncyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample7_untreated_hg38_example.bam,H1
Sample7H2,Patient4,noncyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample7_untreated_hg38_example.bam,H2
Sample8H0,Patient4,cyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample8_treated_hg38_example.bam,H0
Sample8H1,Patient4,cyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample8_treated_hg38_example.bam,H1
Sample8H2,Patient4,cyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample8_treated_hg38_example.bam,H2
Sample9H0,Patient5,noncyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample9_untreated_hg38_example.bam,H0
Sample9H1,Patient5,noncyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample9_untreated_hg38_example.bam,H1
Sample9H2,Patient5,noncyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample9_untreated_hg38_example.bam,H2
Sample10H0,Patient5,cyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample10_treated_hg38_example.bam,H0
Sample10H1,Patient5,cyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample10_treated_hg38_example.bam,H1
Sample10H2,Patient5,cyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample10_treated_hg38_example.bam,H2
Sample11H0,Patient6,noncyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample11_untreated_hg38_example.bam,H0
Sample11H1,Patient6,noncyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample11_untreated_hg38_example.bam,H1
Sample11H2,Patient6,noncyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample11_untreated_hg38_example.bam,H2
Sample12H0,Patient6,cyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample12_treated_hg38_example.bam,H0
Sample12H1,Patient6,cyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample12_treated_hg38_example.bam,H1
Sample12H2,Patient6,cyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample12_treated_hg38_example.bam,H2
Sample13H0,Patient7,noncyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample13_untreated_hg38_example.bam,H0
Sample13H1,Patient7,noncyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample13_untreated_hg38_example.bam,H1
Sample13H2,Patient7,noncyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample13_untreated_hg38_example.bam,H2
Sample14H0,Patient7,cyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample14_treated_hg38_example.bam,H0
Sample14H1,Patient7,cyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample14_treated_hg38_example.bam,H1
Sample14H2,Patient7,cyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample14_treated_hg38_example.bam,H2
Sample15H0,Patient8,noncyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample15_untreated_hg38_example.bam,H0
Sample15H1,Patient8,noncyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample15_untreated_hg38_example.bam,H1
Sample15H2,Patient8,noncyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample15_untreated_hg38_example.bam,H2
Sample16H0,Patient8,cyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample16_treated_hg38_example.bam,H0
Sample16H1,Patient8,cyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample16_treated_hg38_example.bam,H1
Sample16H2,Patient8,cyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample16_treated_hg38_example.bam,H2
Sample17H0,Patient9,noncyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample17_untreated_hg38_example.bam,H0
Sample17H1,Patient9,noncyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample17_untreated_hg38_example.bam,H1
Sample17H2,Patient9,noncyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample17_untreated_hg38_example.bam,H2
Sample18H0,Patient9,cyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample18_treated_hg38_example.bam,H0
Sample18H1,Patient9,cyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample18_treated_hg38_example.bam,H1
Sample18H2,Patient9,cyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample18_treated_hg38_example.bam,H2
Sample19H0,Patient10,noncyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample19_untreated_hg38_example.bam,H0
Sample19H1,Patient10,noncyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample19_untreated_hg38_example.bam,H1
Sample19H2,Patient10,noncyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample19_untreated_hg38_example.bam,H2
Sample20H0,Patient10,cyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample20_treated_hg38_example.bam,H0
Sample20H1,Patient10,cyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample20_treated_hg38_example.bam,H1
Sample20H2,Patient10,cyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample20_treated_hg38_example.bam,H2
Sample21H0,Patient11,noncyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample21_untreated_hg38_example.bam,H0
Sample21H1,Patient11,noncyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample21_untreated_hg38_example.bam,H1
Sample21H2,Patient11,noncyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample21_untreated_hg38_example.bam,H2
Sample22H0,Patient11,cyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample22_treated_hg38_example.bam,H0
Sample22H1,Patient11,cyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample22_treated_hg38_example.bam,H1
Sample22H2,Patient11,cyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample22_treated_hg38_example.bam,H2
Sample23H0,Patient12,noncyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample23_untreated_hg38_example.bam,H0
Sample23H1,Patient12,noncyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample23_untreated_hg38_example.bam,H1
Sample23H2,Patient12,noncyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample23_untreated_hg38_example.bam,H2
Sample24H0,Patient12,cyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample24_treated_hg38_example.bam,H0
Sample24H1,Patient12,cyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample24_treated_hg38_example.bam,H1
Sample24H2,Patient12,cyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample24_treated_hg38_example.bam,H2
Sample25H0,Patient13,noncyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample25_untreated_hg38_example.bam,H0
Sample25H1,Patient13,noncyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample25_untreated_hg38_example.bam,H1
Sample25H2,Patient13,noncyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample25_untreated_hg38_example.bam,H2
Sample26H0,Patient13,cyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample26_treated_hg38_example.bam,H0
Sample26H1,Patient13,cyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample26_treated_hg38_example.bam,H1
Sample26H2,Patient13,cyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample26_treated_hg38_example.bam,H2
Sample27H0,Patient14,noncyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample27_untreated_hg38_example.bam,H0
Sample27H1,Patient14,noncyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample27_untreated_hg38_example.bam,H1
Sample27H2,Patient14,noncyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample27_untreated_hg38_example.bam,H2
Sample28H0,Patient14,cyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample28_treated_hg38_example.bam,H0
Sample28H1,Patient14,cyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample28_treated_hg38_example.bam,H1
Sample28H2,Patient14,cyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample28_treated_hg38_example.bam,H2
Sample29H0,Patient15,noncyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample29_untreated_hg38_example.bam,H0
Sample29H1,Patient15,noncyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample29_untreated_hg38_example.bam,H1
Sample29H2,Patient15,noncyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample29_untreated_hg38_example.bam,H2
Sample30H0,Patient15,cyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample30_treated_hg38_example.bam,H0
Sample30H1,Patient15,cyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample30_treated_hg38_example.bam,H1
Sample30H2,Patient15,cyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample30_treated_hg38_example.bam,H2
Sample31H0,Patient16,noncyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample31_untreated_hg38_example.bam,H0
Sample31H1,Patient16,noncyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample31_untreated_hg38_example.bam,H1
Sample31H2,Patient16,noncyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample31_untreated_hg38_example.bam,H2
Sample32H0,Patient16,cyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample32_treated_hg38_example.bam,H0
Sample32H1,Patient16,cyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample32_treated_hg38_example.bam,H1
Sample32H2,Patient16,cyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample32_treated_hg38_example.bam,H2
Sample33H0,Patient17,noncyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample33_untreated_hg38_example.bam,H0
Sample33H1,Patient17,noncyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample33_untreated_hg38_example.bam,H1
Sample33H2,Patient17,noncyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample33_untreated_hg38_example.bam,H2
Sample34H0,Patient17,cyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample34_treated_hg38_example.bam,H0
Sample34H1,Patient17,cyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample34_treated_hg38_example.bam,H1
Sample34H2,Patient17,cyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample34_treated_hg38_example.bam,H2
Sample35H0,Patient18,noncyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample35_untreated_hg38_example.bam,H0
Sample35H1,Patient18,noncyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample35_untreated_hg38_example.bam,H1
Sample35H2,Patient18,noncyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample35_untreated_hg38_example.bam,H2
Sample36H0,Patient18,cyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample36_treated_hg38_example.bam,H0
Sample36H1,Patient18,cyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample36_treated_hg38_example.bam,H1
Sample36H2,Patient18,cyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample36_treated_hg38_example.bam,H2
Sample37H0,Patient19,noncyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample37_untreated_hg38_example.bam,H0
Sample37H1,Patient19,noncyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample37_untreated_hg38_example.bam,H1
Sample37H2,Patient19,noncyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample37_untreated_hg38_example.bam,H2
Sample38H0,Patient19,cyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample38_treated_hg38_example.bam,H0
Sample38H1,Patient19,cyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample38_treated_hg38_example.bam,H1
Sample38H2,Patient19,cyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample38_treated_hg38_example.bam,H2
Sample39H0,Patient20,noncyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample39_untreated_hg38_example.bam,H0
Sample39H1,Patient20,noncyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample39_untreated_hg38_example.bam,H1
Sample39H2,Patient20,noncyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample39_untreated_hg38_example.bam,H2
Sample40H0,Patient20,cyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample40_treated_hg38_example.bam,H0
Sample40H1,Patient20,cyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample40_treated_hg38_example.bam,H1
Sample40H2,Patient20,cyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample40_treated_hg38_example.bam,H2
Sample41H0,Patient21,noncyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample41_untreated_hg38_example.bam,H0
Sample41H1,Patient21,noncyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample41_untreated_hg38_example.bam,H1
Sample41H2,Patient21,noncyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample41_untreated_hg38_example.bam,H2
Sample42H0,Patient21,cyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample42_treated_hg38_example.bam,H0
Sample42H1,Patient21,cyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample42_treated_hg38_example.bam,H1
Sample42H2,Patient21,cyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample42_treated_hg38_example.bam,H2
Sample43H0,Patient22,noncyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample43_untreated_hg38_example.bam,H0
Sample43H1,Patient22,noncyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample43_untreated_hg38_example.bam,H1
Sample43H2,Patient22,noncyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample43_untreated_hg38_example.bam,H2
Sample44H0,Patient22,cyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample44_treated_hg38_example.bam,H0
Sample44H1,Patient22,cyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample44_treated_hg38_example.bam,H1
Sample44H2,Patient22,cyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample44_treated_hg38_example.bam,H2
Sample45H0,Patient23,noncyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample45_untreated_hg38_example.bam,H0
Sample45H1,Patient23,noncyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample45_untreated_hg38_example.bam,H1
Sample45H2,Patient23,noncyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample45_untreated_hg38_example.bam,H2
Sample46H0,Patient23,cyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample46_treated_hg38_example.bam,H0
Sample46H1,Patient23,cyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample46_treated_hg38_example.bam,H1
Sample46H2,Patient23,cyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample46_treated_hg38_example.bam,H2
Sample47H0,Patient24,noncyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample47_untreated_hg38_example.bam,H0
Sample47H1,Patient24,noncyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample47_untreated_hg38_example.bam,H1
Sample47H2,Patient24,noncyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample47_untreated_hg38_example.bam,H2
