Isoform	Sample	H0_cyclo_count	H1_cyclo_count	H2_cyclo_count	H0_noncyclo_count	H1_noncyclo_count	H2_noncyclo_count	cyclo_count	noncyclo_count	total_cyclo	total_noncyclo	Cyclo_TPM	Noncyclo_TPM	Cyclo_TPM_Rank	Noncyclo_TPM_Rank	Cyclo_TPM_Median	Noncyclo_TPM_Median	Cyclo_TPM_Mean	Noncyclo_TPM_Mean	associated_gene	gene_cyclo_count	gene_noncyclo_count	isoform_cyclo_proportion	isoform_noncyclo_proportion	NoncycloHaplotypeDifference	test_statistic	z_score_of_test_stat	rank_top_99_9_percentile	rank_top_99_5_percentile	rank_top_99_percentile	rank_top_98_percentile	rank_top_95_percentile	Phenotypes	Source_File	Avg_Noncyclo_TPM	SD_Noncyclo_TPM	Noncyclo_TPM_Z_Score	CycloFraction	NoncycloFraction	NormalizedCycloFraction	NormalizedNoncycloFraction	NormalizedFractionDifference	Avg_Cyclo_TPM	SD_Cyclo_TPM	Cyclo_TPM_Z_Score
PB.161551.61	Patient7	1	0	0	5	8	10	1	23	1726	1705	579.3742757821552	13489.736070381232	11.0	4.0	0.0	0.0	4137.538206592386	5096.228719210569	SRSF6	262.0	375.0	0.0038167938931297	0.0613333333333333	-0.1111111111111111	1.207220881124356	1.502697193022878	1.0	1.0	1.0	1.0	3.0		Noncyclo_Allelic_Imbalance_isoform_top_ranked_data.tsv.gz											
PB.59138.483	Patient16	8	6	8	3	6	4	22	13	1395	1271	15770.609318996418	10228.166797797012	2.0	8.0	5150.84621044886	5943.536404160475	6586.796792979133	7155.277762937373	HARS1	653.0	647.0	0.0336906584992343	0.0200927357032457	0.2	1.6125530151888576	1.326138329766984	1.0	1.0	1.0	1.0	2.0	Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive	Noncyclo_Allelic_Imbalance_isoform_top_ranked_data.tsv.gz											
PB.59138.483	Patient18	3	6	3	1	10	6	12	17	988	1387	12145.748987854253	12256.669069935111	5.0	5.0	5150.84621044886	5943.536404160475	6586.796792979133	7155.277762937373	HARS1	325.0	594.0	0.0369230769230769	0.0286195286195286	0.25	2.608306786318773	2.1450306269301547	1.0	1.0	1.0	1.0	3.0	Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive	Noncyclo_Allelic_Imbalance_isoform_top_ranked_data.tsv.gz											
PB.59138.483	Patient27	1	4	1	7	5	9	6	21	917	1439	6543.075245365321	14593.467685892982	10.0	2.0	5150.84621044886	5943.536404160475	6586.796792979133	7155.277762937373	HARS1	324.0	534.0	0.0185185185185185	0.0393258426966292	-0.2857142857142857	2.805889582335812	2.307519622102844	1.0	1.0	1.0	1.0	2.0	Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive	Noncyclo_Allelic_Imbalance_isoform_top_ranked_data.tsv.gz											
PB.59138.483	Patient29	5	4	5	3	9	4	14	16	1044	1857	13409.961685823757	8616.047388260635	4.0	13.0	5150.84621044886	5943.536404160475	6586.796792979133	7155.277762937373	HARS1	392.0	544.0	0.0357142857142857	0.0294117647058823	0.3846153846153846	3.700439718141092	3.0431836355124786	1.0	1.0	1.0	1.0	1.0	Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive	Noncyclo_Allelic_Imbalance_isoform_top_ranked_data.tsv.gz											
PB.59138.487	Patient24	3	1	5	2	5	8	9	15	1059	1661	8498.5835694051	9030.704394942806	2.0	1.0	3759.398496240601	3765.060240963856	3911.017581172473	4131.14083226183	HARS1	475.0	805.0	0.0189473684210526	0.0186335403726708	-0.2307692307692307	2.1646184712917043	5.567764362830022	1.0	1.0	1.0	1.0	3.0	Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive	Noncyclo_Allelic_Imbalance_isoform_top_ranked_data.tsv.gz											
PB.70308.16	Patient1	80	82	84	70	59	86	246	215	1902	1717	129337.53943217664	125218.4041933605	13.0	11.0	120689.6551724138	116909.18213748118	138557.387237657	129259.77389098969	VTA1	1133.0	979.0	0.2171226831421006	0.2196118488253319	-0.1862068965517241	3.8488110911635514	2.5339526028748702	1.0	1.0	1.0	1.0	2.0		Noncyclo_Allelic_Imbalance_isoform_top_ranked_data.tsv.gz											
PB.70308.16	Patient20	66	61	49	61	64	45	176	170	1888	1738	93220.33898305084	97813.57882623703	25.0	25.0	120689.6551724138	116909.18213748118	138557.387237657	129259.77389098969	VTA1	1110.0	862.0	0.1585585585585585	0.1972157772621809	0.1743119266055046	3.376009982261033	2.04626866847056	1.0	1.0	1.0	1.0	1.0		Noncyclo_Allelic_Imbalance_isoform_top_ranked_data.tsv.gz											
PB.70308.18	Patient23	0	3	4	21	22	12	7	55	665	1159	10526.315789473683	47454.70232959448	31.0	22.0	51724.137931034486	53097.345132743365	52791.50510828705	54522.69352716771	VTA1	127.0	581.0	0.0551181102362204	0.0946643717728055	0.2941176470588235	4.187603799204068	2.477353180191081	1.0	1.0	1.0	1.0	1.0		Noncyclo_Allelic_Imbalance_isoform_top_ranked_data.tsv.gz											
PB.70308.18	Patient9	30	49	44	40	40	23	123	103	1722	1493	71428.57142857142	68988.61352980576	3.0	3.0	51724.137931034486	53097.345132743365	52791.50510828705	54522.69352716771	VTA1	1124.0	909.0	0.1094306049822064	0.1133113311331133	0.2698412698412698	4.617983730749866	2.8411608303363294	1.0	1.0	1.0	1.0	1.0		Noncyclo_Allelic_Imbalance_isoform_top_ranked_data.tsv.gz											
PB.70308.21	Patient14	117	124	104	197	197	217	345	611	1161	1708	297157.62273901806	357728.337236534	7.0	2.0	259541.9847328244	283564.11800120404	260829.56428435983	283440.7847834908	VTA1	693.0	1194.0	0.4978354978354978	0.5117252931323283	-0.0483091787439613	1.2068968401256912	0.4862252142440958	1.0	1.0	1.0	1.0	1.0		Noncyclo_Allelic_Imbalance_isoform_top_ranked_data.tsv.gz											
PB.70308.26	Patient12	1	1	3	3	7	5	5	15	1791	2004	2791.736460078169	7485.029940119761	24.0	3.0	4206.098843322818	2927.400468384076	4173.63598258706	3414.373282954469	VTA1	1046.0	1180.0	0.0047801147227533	0.0127118644067796	0.1666666666666666	1.4878938713077388	5.56776436283002	1.0	1.0	1.0	1.0	3.0		Noncyclo_Allelic_Imbalance_isoform_top_ranked_data.tsv.gz											
PB.70308.41	Patient10	1	1	1	2	6	4	3	12	1394	2180	2152.080344332855	5504.587155963303	5.0	1.0	783.0853563038371	575.3739930955121	1048.6489098809243	897.904102148596	VTA1	741.0	1255.0	0.0040485829959514	0.0095617529880478	0.2	1.6125530151888576	5.567764362830024	1.0	1.0	1.0	1.0	3.0		Noncyclo_Allelic_Imbalance_isoform_top_ranked_data.tsv.gz											
PB.70308.42	Patient21	8	7	5	17	9	2	20	28	1417	1328	14114.326040931546	21084.33734939759	6.0	4.0	10647.010647010646	12436.844150796736	9958.494907074535	12753.648649879153	VTA1	626.0	737.0	0.0319488817891373	0.0379918588873812	0.6363636363636364	6.008913696943694	2.324369882960684	1.0	1.0	1.0	1.0	1.0		Noncyclo_Allelic_Imbalance_isoform_top_ranked_data.tsv.gz											
PB.70308.42	Patient3	4	5	0	6	4	11	9	21	1987	2019	4529.441368897837	10401.188707280831	28.0	19.0	10647.010647010646	12436.844150796736	9958.494907074535	12753.648649879153	VTA1	999.0	1000.0	0.009009009009009	0.021	-0.4666666666666667	4.934537242082041	1.8229528501222243	1.0	1.0	1.0	1.0	1.0		Noncyclo_Allelic_Imbalance_isoform_top_ranked_data.tsv.gz											
PB.70308.42	Patient4	9	4	9	3	9	12	22	24	1554	1450	14157.014157014157	16551.724137931036	5.0	7.0	10647.010647010646	12436.844150796736	9958.494907074535	12753.648649879153	VTA1	920.0	891.0	0.0239130434782608	0.0269360269360269	-0.1428571428571428	1.6625431975416274	0.2958963534403153	1.0	1.0	1.0	1.0	1.0		Noncyclo_Allelic_Imbalance_isoform_top_ranked_data.tsv.gz											
PB.161541.3	Patient1	0	0	0	0	0	0	0	0	1902	1717	0.0	0.0	30.0	31.0	2822.865208186309	3392.705682782019	3374.349287623454	4320.504916696668	novelGene_SRSF6_AS	0.0	0.0				101.67834770921836	5.257206020128558	1.0	1.0	1.0	1.0	1.0		Noncyclo_LOE_isoform_top_ranked_data.tsv.gz	4320.504916696668	3961.83098235658	-1.090532366458183								
PB.161541.4	Patient14	0	3	1	0	0	0	4	0	1161	1708	3445.305770887166	0.0	6.0	28.0	944.2870632672332	848.1764206955047	2194.2860325263987	1465.670973255149	novelGene_SRSF6_AS	9.0	6.0	0.4444444444444444	0.0		0.0	2.1787074655788907	1.0	1.0	1.0	1.0	1.0		Noncyclo_LOE_isoform_top_ranked_data.tsv.gz	1465.670973255149	1777.0814532920956	-0.8247629676962474								
PB.161541.4	Patient31	0	0	0	0	0	0	0	0	966	1858	0.0	0.0	26.5	28.0	944.2870632672332	848.1764206955047	2194.2860325263987	1465.670973255149	novelGene_SRSF6_AS	3.0	18.0	0.0	0.0		0.0	2.1787074655788907	1.0	1.0	1.0	1.0	1.0		Noncyclo_LOE_isoform_top_ranked_data.tsv.gz	1465.670973255149	1777.0814532920956	-0.8247629676962474								
PB.161541.4	Patient6	0	0	0	0	0	0	0	0	1602	1714	0.0	0.0	26.5	28.0	944.2870632672332	848.1764206955047	2194.2860325263987	1465.670973255149	novelGene_SRSF6_AS	2.0	1.0	0.0	0.0		0.0	2.1787074655788907	1.0	1.0	1.0	1.0	1.0		Noncyclo_LOE_isoform_top_ranked_data.tsv.gz	1465.670973255149	1777.0814532920956	-0.8247629676962474								
PB.161541.4	Patient7	2	0	0	0	0	0	2	0	1726	1705	1158.7485515643104	0.0	14.0	28.0	944.2870632672332	848.1764206955047	2194.2860325263987	1465.670973255149	novelGene_SRSF6_AS	3.0	2.0	0.6666666666666666	0.0		0.0	2.1787074655788907	1.0	1.0	1.0	1.0	1.0		Noncyclo_LOE_isoform_top_ranked_data.tsv.gz	1465.670973255149	1777.0814532920956	-0.8247629676962474								
PB.161551.18	Patient9	0	0	0	0	0	0	0	0	1722	1493	0.0	0.0	31.0	31.0	50237.61031907671	41351.1939429237	66146.65887260679	45828.29338733267	SRSF6	3.0	7.0	0.0	0.0		202.8622518731178	5.4858288774828825	1.0	1.0	1.0	1.0	1.0		Noncyclo_LOE_isoform_top_ranked_data.tsv.gz	45828.29338733267	30897.59039733579	-1.4832319542718877								
PB.161551.19	Patient10	0	0	0	0	0	0	0	0	1394	2180	0.0	0.0	29.0	29.0	7078.507078507078	5507.474429583005	16450.57042214269	9691.84586219	SRSF6	248.0	345.0	0.0	0.0		0.0	2.485825340943732	1.0	1.0	1.0	1.0	1.0		Noncyclo_LOE_isoform_top_ranked_data.tsv.gz	9691.84586219	10474.678769756129	-0.9252642563296142								
PB.161551.19	Patient29	2	1	0	0	0	0	3	0	1044	1857	2873.5632183908046	0.0	21.0	29.0	7078.507078507078	5507.474429583005	16450.57042214269	9691.84586219	SRSF6	61.0	35.0	0.0491803278688524	0.0		0.0	2.485825340943732	1.0	1.0	1.0	1.0	1.0		Noncyclo_LOE_isoform_top_ranked_data.tsv.gz	9691.84586219	10474.678769756129	-0.9252642563296142								
PB.161551.19	Patient30	0	0	2	0	0	0	2	0	1658	1808	1206.2726176115802	0.0	25.0	29.0	7078.507078507078	5507.474429583005	16450.57042214269	9691.84586219	SRSF6	496.0	127.0	0.0040322580645161	0.0		0.0	2.485825340943732	1.0	1.0	1.0	1.0	1.0		Noncyclo_LOE_isoform_top_ranked_data.tsv.gz	9691.84586219	10474.678769756129	-0.9252642563296142								
PB.161551.31	Patient20	0	0	0	0	0	0	0	0	1888	1738	0.0	0.0	27.5	26.5	3036.4372469635628	1843.3179723502303	3514.1734442161	2625.086178446902	SRSF6	54.0	81.0	0.0	0.0		0.0	1.9803693227111383	1.0	1.0	1.0	1.0	1.0		Noncyclo_LOE_isoform_top_ranked_data.tsv.gz	2625.086178446902	2971.02755035516	-0.8835617085183529								
PB.161551.31	Patient24	0	0	0	0	0	0	0	0	1059	1661	0.0	0.0	27.5	26.5	3036.4372469635628	1843.3179723502303	3514.1734442161	2625.086178446902	SRSF6	27.0	41.0	0.0	0.0		0.0	1.9803693227111383	1.0	1.0	1.0	1.0	1.0		Noncyclo_LOE_isoform_top_ranked_data.tsv.gz	2625.086178446902	2971.02755035516	-0.8835617085183529								
PB.161551.38	Patient17	5	4	3	0	0	0	12	0	975	1227	12307.692307692309	0.0	16.0	29.0	12307.692307692309	1843.3179723502303	24056.45237058164	27881.244818305106	SRSF6	56.0	25.0	0.2142857142857142	0.0		0.0	2.066013592443925	1.0	1.0	1.0	1.0	2.0		Noncyclo_LOE_isoform_top_ranked_data.tsv.gz	27881.244818305106	58330.05830470048	-0.4779910329021275								
PB.161551.38	Patient19	6	11	8	0	0	0	25	0	1229	1548	20341.74125305126	0.0	12.0	29.0	12307.692307692309	1843.3179723502303	24056.45237058164	27881.244818305106	SRSF6	74.0	31.0	0.3378378378378378	0.0		0.0	2.066013592443925	1.0	1.0	1.0	1.0	2.0		Noncyclo_LOE_isoform_top_ranked_data.tsv.gz	27881.244818305106	58330.05830470048	-0.4779910329021275								
PB.161551.38	Patient22	4	3	2	0	0	0	9	0	1221	2106	7371.007371007371	0.0	25.0	29.0	12307.692307692309	1843.3179723502303	24056.45237058164	27881.244818305106	SRSF6	58.0	43.0	0.1551724137931034	0.0		0.0	2.066013592443925	1.0	1.0	1.0	1.0	2.0		Noncyclo_LOE_isoform_top_ranked_data.tsv.gz	27881.244818305106	58330.05830470048	-0.4779910329021275								
PB.161551.572	Patient12	0	0	0	0	0	0	0	0	1791	2004	0.0	0.0	23.5	25.0	0.0	831.9467554076539	982.1561990253622	802.0300453852691	SRSF6	223.0	348.0	0.0	0.0		0.0	1.8919264393477893	1.0	1.0	1.0	1.0	1.0		Noncyclo_LOE_isoform_top_ranked_data.tsv.gz	802.0300453852691	901.0915553592606	-0.8900649890848259								
PB.161551.572	Patient18	0	0	0	0	0	0	0	0	988	1387	0.0	0.0	23.5	25.0	0.0	831.9467554076539	982.1561990253622	802.0300453852691	SRSF6	157.0	82.0	0.0	0.0		0.0	1.8919264393477893	1.0	1.0	1.0	1.0	1.0		Noncyclo_LOE_isoform_top_ranked_data.tsv.gz	802.0300453852691	901.0915553592606	-0.8900649890848259								
PB.161551.572	Patient26	0	0	0	0	0	0	0	0	1690	1469	0.0	0.0	23.5	25.0	0.0	831.9467554076539	982.1561990253622	802.0300453852691	SRSF6	668.0	201.0	0.0	0.0		0.0	1.8919264393477893	1.0	1.0	1.0	1.0	1.0		Noncyclo_LOE_isoform_top_ranked_data.tsv.gz	802.0300453852691	901.0915553592606	-0.8900649890848259								
PB.161551.572	Patient4	0	2	0	0	0	0	2	0	1554	1450	1287.001287001287	0.0	6.0	25.0	0.0	831.9467554076539	982.1561990253622	802.0300453852691	SRSF6	197.0	100.0	0.0101522842639593	0.0		0.0	1.8919264393477893	1.0	1.0	1.0	1.0	1.0		Noncyclo_LOE_isoform_top_ranked_data.tsv.gz	802.0300453852691	901.0915553592606	-0.8900649890848259								
PB.161551.572	Patient8	0	0	0	0	0	0	0	0	1359	1179	0.0	0.0	23.5	25.0	0.0	831.9467554076539	982.1561990253622	802.0300453852691	SRSF6	217.0	262.0	0.0	0.0		0.0	1.8919264393477893	1.0	1.0	1.0	1.0	1.0		Noncyclo_LOE_isoform_top_ranked_data.tsv.gz	802.0300453852691	901.0915553592606	-0.8900649890848259								
PB.161551.604	Patient27	0	0	0	0	0	0	0	0	917	1439	0.0	0.0	23.0	25.0	0.0	645.9948320413437	1393.892593594069	1060.6167864373883	SRSF6	92.0	45.0	0.0	0.0		0.0	1.760042764581211	1.0	1.0	1.0	1.0	1.0		Noncyclo_LOE_isoform_top_ranked_data.tsv.gz	1060.6167864373883	1363.7035733149542	-0.7777473104797926								
PB.59138.483	Patient13	5	1	4	2	1	0	10	3	2218	2495	4508.566275924256	1202.4048096192384	20.0	30.0	5150.84621044886	5943.536404160475	6586.796792979133	7155.277762937373	HARS1	548.0	488.0	0.0182481751824817	0.0061475409836065		-4.838306409114734	2.1886497968081837	1.0	1.0	1.0	1.0	2.0	Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive	Noncyclo_LOE_isoform_top_ranked_data.tsv.gz	7155.277762937373	4270.420381327698	-1.3939782086435604								
PB.59138.487	Patient2	0	0	0	0	0	0	0	0	1277	1085	0.0	0.0	30.5	31.0	3759.398496240601	3765.060240963856	3911.017581172473	4131.14083226183	HARS1	145.0	71.0	0.0	0.0		123.17502176160914	5.487649376919903	1.0	1.0	1.0	1.0	1.0	Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive	Noncyclo_LOE_isoform_top_ranked_data.tsv.gz	4131.14083226183	2167.384219004829	-1.9060491425736568								
PB.59138.488	Patient15	1	0	0	0	0	0	1	0	1376	2573	726.7441860465116	0.0	16.0	23.5	726.7441860465116	0.0	1231.04416041569	865.7269389952993	HARS1	427.0	988.0	0.0023419203747072	0.0		0.0	0.8334524824345995	1.0	1.0	1.0	1.0	1.0	Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive	Noncyclo_LOE_isoform_top_ranked_data.tsv.gz	865.7269389952993	1350.8441643252168	-0.6408784683374291								
PB.70308.16	Patient25	47	36	38	38	42	53	121	133	1372	1946	88192.4198250729	68345.3237410072	26.0	31.0	120689.6551724138	116909.18213748118	138557.387237657	129259.77389098969	VTA1	664.0	856.0	0.1822289156626506	0.1553738317757009		1.551330267221759	1.8091478946736308	1.0	1.0	1.0	1.0	1.0		Noncyclo_LOE_isoform_top_ranked_data.tsv.gz	129259.77389098969	49977.64161416531	-1.218834026228187								
PB.70308.19	Patient11	0	0	3	0	0	0	3	0	1367	2226	2194.586686174104	0.0	12.0	31.0	1930.5019305019305	1725.625539257981	2222.732069702248	2316.8778126739057	VTA1	810.0	640.0	0.0037037037037037	0.0		99.49449260590498	5.383996524863227	1.0	1.0	1.0	1.0	1.0		Noncyclo_LOE_isoform_top_ranked_data.tsv.gz	2316.8778126739057	1546.961818278075	-1.4976955379886654								
PB.70308.26	Patient21	2	2	2	0	0	0	6	0	1417	1328	4234.297812279464	0.0	15.0	30.0	4206.098843322818	2927.400468384076	4173.63598258706	3414.373282954469	VTA1	626.0	737.0	0.0095846645367412	0.0		0.0	3.2192624303469777	1.0	1.0	1.0	1.0	2.0		Noncyclo_LOE_isoform_top_ranked_data.tsv.gz	3414.373282954469	2590.581075023304	-1.3179951462911674								
PB.70308.26	Patient23	0	0	0	0	0	0	0	0	665	1159	0.0	0.0	31.0	30.0	4206.098843322818	2927.400468384076	4173.63598258706	3414.373282954469	VTA1	127.0	581.0	0.0	0.0		0.0	3.2192624303469777	1.0	1.0	1.0	1.0	2.0		Noncyclo_LOE_isoform_top_ranked_data.tsv.gz	3414.373282954469	2590.581075023304	-1.3179951462911674								
PB.70308.26	Patient28	0	1	7	0	0	0	8	0	1473	1202	5431.093007467753	0.0	7.0	30.0	4206.098843322818	2927.400468384076	4173.63598258706	3414.373282954469	VTA1	851.0	786.0	0.0094007050528789	0.0		0.0	3.2192624303469777	1.0	1.0	1.0	1.0	2.0		Noncyclo_LOE_isoform_top_ranked_data.tsv.gz	3414.373282954469	2590.581075023304	-1.3179951462911674								
PB.70308.41	Patient16	0	1	0	0	0	0	1	0	1395	1271	716.8458781362007	0.0	19.0	26.0	783.0853563038371	575.3739930955121	1048.6489098809243	897.904102148596	VTA1	641.0	567.0	0.0015600624024961	0.0		0.0	1.8524976194803096	1.0	1.0	1.0	1.0	2.0		Noncyclo_LOE_isoform_top_ranked_data.tsv.gz	897.904102148596	1190.048814000147	-0.7545103121698375								
PB.70308.42	Patient5	6	3	3	3	0	2	12	5	1596	1993	7518.796992481202	2508.7807325639737	22.0	31.0	10647.010647010646	12436.844150796736	9958.494907074535	12753.648649879153	VTA1	676.0	862.0	0.0177514792899408	0.0058004640371229		12.780198563455844	3.681046399619478	1.0	1.0	1.0	1.0	1.0		Noncyclo_LOE_isoform_top_ranked_data.tsv.gz	12753.648649879153	6309.365575938769	-1.6237556366023136								
PB.70308.51	Patient3	4	4	3	1	1	1	11	3	1987	2019	5535.983895319578	1485.8841010401188	13.0	31.0	5128.205128205128	4624.871531346352	6192.791052583932	5630.091678763911	VTA1	999.0	1000.0	0.011011011011011	0.003		2.326535456074896	2.098773160029792	1.0	1.0	1.0	1.0	1.0		Noncyclo_LOE_isoform_top_ranked_data.tsv.gz	5630.091678763911	4349.700965422429	-0.9527568930985856								
